Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
Alrust,39711,39555,3751,3595,3751,7.09584228353217,0.862215542025004,0.862215542025004,0.997034544592994
Gudmedalen,113843,113391,6744,6292,5039.49182283355,7.33327713110794,0.831776015298373,0.860202353722712,0.997368858225921
Hogsete,58088,57945,3176,3033,2929.8048454233,6.62210465153206,0.821256897222773,0.829557923943366,0.995944773233801
Lavisdalen,65152,64975,4474,4297,3976.15612917625,7.05227252481655,0.838953191223164,0.850894335400031,0.997309943118356
Rambera,65019,64795,4058,3834,3625.44498405936,6.9159475993828,0.832399704904329,0.843847423809486,0.996993972774538
Skjellingahaugen,99813,99370,6256,5813,4917.91059177574,7.36365887731621,0.842398957725496,0.866247683288953,0.998044844254496
Ulvhaugen,42834,42687,3851,3704,3796.54418599357,7.1519050865545,0.866258326054207,0.867755190576295,0.997777798314618
Veskre,67335,67078,4834,4577,4247.04772367832,7.0947940294562,0.836312010162972,0.84927119370702,0.996589274060182
