sampleID,project,turfID,rep,day,dna.rna,pairedSampleID,bottleID,site,temperature,precipitation,precip.level,temp.level,turf.treat,turf.treat.group,turf.origSite,origSite.precipLevel,origSite.tempLevel,exp.moisture.level,exp.temp,colour,transcol
C06,Turfs,530 TT1 531,B,NA,DNA,NA,NA,Rambera,8.767480114,1848.17079,3,2,Control,Control,Rambera,3,2,NA,NA,7,black
C07,Turfs,121 TT3 192,B,NA,DNA,NA,NA,Rambera,8.767480114,1848.17079,3,2,Wetter,Transplant,Hogsete,2,2,NA,NA,7,green
C08,Turfs,173 TT1 175,A,NA,DNA,NA,NA,Gudmedalen,5.866376294,1924.597184,3,1,Control,Control,Gudmedalen,3,1,NA,NA,8,black
C09,Turfs,169 TT1 170,B,NA,DNA,NA,NA,Gudmedalen,5.866376294,1924.597184,3,1,Control,Control,Gudmedalen,3,1,NA,NA,8,black
C10,Turfs,89 TT3 509,A,NA,DNA,NA,NA,Gudmedalen,5.866376294,1924.597184,3,1,Wetter,Transplant,Lavisdalen,2,1,NA,NA,8,green
C11,Turfs,117 TT3 530,C,NA,DNA,NA,NA,Rambera,8.767480114,1848.17079,3,2,Wetter,Transplant,Hogsete,2,2,NA,NA,7,green
C12,Turfs,162 TT2 200,A,NA,DNA,NA,NA,Rambera,8.767480114,1848.17079,3,2,Warmer,Transplant,Gudmedalen,3,1,NA,NA,7,red
C13,Turfs,80 TT3 169,B,NA,DNA,NA,NA,Gudmedalen,5.866376294,1924.597184,3,1,Wetter,Transplant,Lavisdalen,2,1,NA,NA,8,green
C14,Turfs,193 TT1 191,C,NA,DNA,NA,NA,Rambera,8.767480114,1848.17079,3,2,Control,Control,Rambera,3,2,NA,NA,7,black
C15,Turfs,170 TT2 195,B,NA,DNA,NA,NA,Rambera,8.767480114,1848.17079,3,2,Warmer,Transplant,Gudmedalen,3,1,NA,NA,7,red
C16,Turfs,253 TT1 252,B,NA,DNA,NA,NA,Skjellingahaugen,6.576240022,2724.854344,4,1,Control,Control,Skjellingahaugen,4,1,NA,NA,6,black
C17,Turfs,4 TT3 91,C,NA,DNA,NA,NA,Lavisdalen,6.454522029,1320.501902,2,1,Wetter,Transplant,Ulvhaugen,1,1,NA,NA,4,green
C18,Turfs,501 TT1 166,C,NA,DNA,NA,NA,Gudmedalen,5.866376294,1924.597184,3,1,Control,Control,Gudmedalen,3,1,NA,NA,8,black
C19,Turfs,81 TT3 168,C,NA,DNA,NA,NA,Gudmedalen,5.866376294,1924.597184,3,1,Wetter,Transplant,Lavisdalen,2,1,NA,NA,8,green
C20,Turfs,502 TT2 527,C,NA,DNA,NA,NA,Rambera,8.767480114,1848.17079,3,2,Warmer,Transplant,Gudmedalen,3,1,NA,NA,7,red
C21,Turfs,238 TT1 237,C,NA,DNA,NA,NA,Skjellingahaugen,6.576240022,2724.854344,4,1,Control,Control,Skjellingahaugen,4,1,NA,NA,6,black
D01,ST,NA,B,1,DNA,R1,UH10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
D02,ST,NA,A,1,DNA,R2,UL10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
D03,ST,NA,A,1,DNA,R3,UH10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
D04,ST,NA,B,1,DNA,R4,UL10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
D05,ST,NA,A,1,DNA,R5,SL10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
D06,ST,NA,A,1,DNA,R6,SH10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
D07,ST,NA,B,1,DNA,R7,SL10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
D08,ST,NA,B,1,DNA,R8,SH10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
E01,ST,NA,A,35,DNA,NA,UM20_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,2,20,5,NA
E02,ST,NA,A,35,DNA,NA,SH20_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,20,6,NA
E03,ST,NA,A,35,DNA,NA,SL20_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
E04,LT,NA,A,35,DNA,NA,LM20_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,2,20,4,NA
E05,LT,NA,A,35,DNA,NA,GH20_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,3,20,8,NA
E06,LT,NA,A,35,DNA,NA,GL20_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,20,8,NA
E07,ST,NA,B,35,DNA,NA,UM20_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,2,20,5,NA
E08,ST,NA,B,35,DNA,NA,SH20_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,20,6,NA
E09,ST,NA,B,35,DNA,NA,SL20_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
E10,LT,NA,B,35,DNA,NA,LM20_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,2,20,4,NA
E11,LT,NA,B,35,DNA,NA,GH20_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,3,20,8,NA
E12,LT,NA,B,35,DNA,NA,GL20_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,20,8,NA
E13,ST,NA,A,35,DNA,NA,UH20_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,20,5,NA
