Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
R01,15693,15679,2213,2199,1162.84114575019,6.47186162621005,0.840271871228267,0.916873298491078,0.994158738191717
R02,15504,15474,2411,2381,1238.26184543544,6.6274370994933,0.851002819303259,0.930628471544213,0.994888540698176
R04,17600,17578,2673,2651,1304.39737551172,6.75183203090844,0.855641752171737,0.941219124456072,0.995774987086777
R05,17020,16994,2864,2838,1429.51734955572,6.977120065518,0.876525426168727,0.960362225683442,0.996721117479816
R06,16381,16356,2765,2740,1383.61553833561,6.89652942238242,0.870246943550543,0.953552995392555,0.996211419259966
R07,6341,6327,1601,1587,1279.04178794046,6.73307443066559,0.912540563430654,0.941179774000819,0.99707833816621
R08,20104,20061,3270,3227,1471.44697391382,7.05716060053642,0.87205698212468,0.967529355448557,0.996829192140385
R09,15635,15605,2944,2914,1486.58043825468,7.02471536956674,0.879460887699181,0.961732004566584,0.996550771625124
R10,13960,13939,2778,2757,1477.37973683519,7.03878449436887,0.887672168137675,0.964477945363064,0.996991670840141
R11,19178,19148,3370,3340,1548.82519495954,7.16193693694351,0.881722226780469,0.9750430553972,0.997188564072438
R12,17214,17168,3214,3168,1508.13134228182,7.12764380978489,0.882650666162792,0.973904553225341,0.997359903960625
R13,20016,19981,3370,3335,1529.675451881,7.13755405153585,0.878720394705395,0.973372173251724,0.99701863708873
R14,19250,19217,3465,3432,1577.42811947635,7.23025426199499,0.887096831788439,0.981897760362104,0.997518361949739
R15,8152,8143,1899,1890,1342.88918964888,6.77029537044349,0.896836825055133,0.939982146381272,0.996020711968188
R16,16524,16497,2965,2938,1478.88997723672,7.0446328069103,0.8811703318534,0.965144181065559,0.996843517913485
R17,17749,17724,2707,2682,1327.10263117703,6.77680741624748,0.85743339714258,0.942433576229726,0.994976033816225
R18,18125,18096,2825,2796,1347.22960151211,6.81060013070688,0.857082074820017,0.945154573100267,0.995504387348395
R20,20181,20163,2921,2903,1338.63927607292,6.85517653364877,0.859078987477546,0.952186022216394,0.995631097460014
R21,20769,20755,3234,3220,1515.5089143231,7.21766869943467,0.893112787404249,0.985548196344113,0.997983720283196
R22,24564,24540,3781,3757,1585.22216219486,7.31597429545214,0.888104130162021,0.992874304118882,0.998100326790912
R23,8738,8730,2080,2072,1431.94223542017,7.03716640995475,0.921080230107352,0.968401358386341,0.998159382666565
R24,16037,16022,3029,3014,1544.05995774879,7.23933519992729,0.90311205188816,0.985993874459064,0.998250876394139
R25,15871,15847,2849,2825,1438.1400704833,7.00135759956629,0.880150987678342,0.962901332664813,0.99692382714471
R26,15804,15783,2942,2921,1470.23504675065,7.04576026974072,0.882170664002275,0.966075514976779,0.997074226344346
R27,17876,17852,2986,2962,1412.76020960604,6.91255214750229,0.86388652477441,0.953021592035346,0.996028131639151
R28,15239,15212,2845,2818,1435.2833749393,6.97773833545558,0.87733673309748,0.959915458271224,0.996801101452745
R29,18456,18434,3014,2992,1438.72741802323,7.01747208649278,0.875976982507001,0.965063373510473,0.997076693987824
R30,21485,21461,3411,3387,1478.64577436393,7.08455429380351,0.870898909420311,0.970635552295767,0.997038792184382
R31,7353,7345,1856,1848,1383.28652057892,6.91410602518316,0.918674151224654,0.956014671989059,0.997647253964087
